,Date,Price,Open,High,Low,Vol.,Change %
218,"Mar 11, 2019","1,079.36","1,084.82","1,087.29","1,077.99",591.35M,-0.25%
219,"Mar 08, 2019","1,082.08","1,083.28","1,087.94","1,078.39",749.21M,-0.23%
220,"Mar 07, 2019","1,084.58","1,078.38","1,087.60","1,077.19",841.04M,0.55%
221,"Mar 06, 2019","1,078.65","1,086.95","1,089.21","1,076.99",1.04B,-0.98%
222,"Mar 05, 2019","1,089.38","1,086.09","1,092.10","1,082.70",912.21M,0.20%
223,"Mar 04, 2019","1,087.22","1,091.54","1,094.28","1,085.21",1.08B,-0.42%
224,"Mar 01, 2019","1,091.76","1,100.90","1,102.15","1,090.77",1.58B,-0.69%
225,"Feb 28, 2019","1,099.30","1,110.42","1,110.87","1,099.21",1.23B,-0.95%
226,"Feb 27, 2019","1,109.88","1,108.48","1,112.52","1,105.61",1.54B,0.13%
227,"Feb 26, 2019","1,108.46","1,109.60","1,114.26","1,106.71",1.01B,-0.56%
228,"Feb 25, 2019","1,114.72","1,110.52","1,117.58","1,110.20",1.26B,0.80%
229,"Feb 22, 2019","1,105.88","1,094.71","1,108.23","1,094.28",944.83M,0.83%
230,"Feb 21, 2019","1,096.79","1,096.44","1,100.63","1,092.50",833.57M,0.08%
231,"Feb 20, 2019","1,095.88","1,091.06","1,097.31","1,087.61",1.05B,0.63%
232,"Feb 18, 2019","1,088.97","1,095.20","1,097.16","1,088.34",698.35M,-0.04%
233,"Feb 15, 2019","1,089.39","1,098.70","1,099.89","1,086.88",1.25B,-1.00%
234,"Feb 14, 2019","1,100.41","1,104.54","1,105.64","1,098.24",1.26B,-0.24%
235,"Feb 13, 2019","1,103.01","1,098.67","1,104.44","1,095.46",964.37M,0.90%
236,"Feb 12, 2019","1,093.16","1,091.11","1,096.89","1,089.33",726.71M,0.12%
237,"Feb 11, 2019","1,091.82","1,095.63","1,098.66","1,088.21",873.65M,-0.88%
238,"Feb 08, 2019","1,101.55","1,098.67","1,106.75","1,091.30",1.57B,-0.07%
239,"Feb 07, 2019","1,102.30","1,106.68","1,112.13","1,099.56",976.98M,-0.31%
240,"Feb 06, 2019","1,105.74","1,103.64","1,109.68","1,101.59",846.40M,0.28%
241,"Feb 05, 2019","1,102.66","1,101.53","1,103.98","1,096.90",683.93M,0.01%
242,"Feb 04, 2019","1,102.57","1,104.63","1,107.39","1,101.29",639.23M,0.03%
243,"Feb 01, 2019","1,102.22","1,098.26","1,106.06","1,095.78",960.43M,0.52%
244,"Jan 31, 2019","1,096.50","1,096.80","1,102.66","1,095.96",1.32B,0.50%
245,"Jan 30, 2019","1,091.05","1,088.06","1,091.52","1,083.07",1.06B,0.44%
246,"Jan 29, 2019","1,086.30","1,084.56","1,086.61","1,079.53",1.30B,-0.01%
247,"Jan 28, 2019","1,086.46","1,088.97","1,093.38","1,083.69",1.14B,0.03%
248,"Jan 25, 2019","1,086.11","1,087.29","1,090.33","1,080.71",1.42B,0.20%
249,"Jan 24, 2019","1,083.97","1,083.45","1,090.12","1,079.47",1.33B,0.13%
250,"Jan 23, 2019","1,082.61","1,073.14","1,086.22","1,071.94",1.58B,0.83%
251,"Jan 22, 2019","1,073.73","1,063.51","1,073.73","1,061.95",1.15B,0.86%
252,"Jan 21, 2019","1,064.57","1,062.75","1,069.92","1,061.78",1.03B,0.34%
253,"Jan 18, 2019","1,060.95","1,061.31","1,063.91","1,055.68",1.04B,0.29%
254,"Jan 17, 2019","1,057.92","1,056.48","1,062.89","1,055.21",1.23B,0.19%
255,"Jan 16, 2019","1,055.89","1,057.36","1,060.81","1,046.53",1.61B,0.18%
256,"Jan 15, 2019","1,054.01","1,061.84","1,064.69","1,051.25",887.58M,-0.40%
257,"Jan 14, 2019","1,058.27","1,065.25","1,066.63","1,055.72",1.08B,-1.04%
258,"Jan 11, 2019","1,069.42","1,065.76","1,069.69","1,061.51",1.19B,0.59%
259,"Jan 10, 2019","1,063.19","1,064.02","1,071.57","1,055.49",1.18B,-0.15%
260,"Jan 09, 2019","1,064.82","1,075.28","1,079.45","1,061.87",1.14B,-0.22%
261,"Jan 08, 2019","1,067.20","1,067.45","1,070.39","1,062.44",797.26M,0.02%
262,"Jan 07, 2019","1,066.99","1,061.63","1,071.14","1,059.24",1.11B,1.20%
263,"Jan 04, 2019","1,054.29","1,041.26","1,055.23","1,034.66",1.19B,1.23%
264,"Jan 03, 2019","1,041.49","1,051.31","1,055.91","1,038.39",915.78M,-0.50%
265,"Jan 02, 2019","1,046.71","1,048.13","1,054.00","1,044.96",790.07M,0.17%
266,"Dec 28, 2018","1,044.92","1,035.67","1,045.73","1,034.58",854.13M,1.07%
267,"Dec 27, 2018","1,033.81","1,061.32","1,063.67","1,031.45",1.22B,-0.66%
